[  5.201] step moves=0 diag=0 level=false shimmer=false released=0 sec=37 toast=false -> repaint=false
[  5.301] step moves=0 diag=0 level=false shimmer=false released=0 sec=37 toast=false -> repaint=false
[  5.401] step moves=0 diag=0 level=false shimmer=false released=0 sec=37 toast=false -> repaint=false
[  5.501] step moves=0 diag=0 level=false shimmer=false released=0 sec=37 toast=false -> repaint=false
[  5.601] step moves=0 diag=0 level=false shimmer=false released=0 sec=37 toast=false -> repaint=false
[  5.701] step moves=0 diag=0 level=false shimmer=false released=0 sec=37 toast=false -> repaint=false
[  5.801] step moves=0 diag=0 level=false shimmer=false released=0 sec=37 toast=false -> repaint=false
[  5.901] step moves=0 diag=0 level=false shimmer=false released=0 sec=36 toast=false -> repaint=true
[  5.902] draw dirty=270.0x437.0@0.0,-32.0 bounds=270.0x405.0@0.0,0.0 grid=31x29 scale=2.0 screen=Built-in Retina Display
[  6.001] step moves=0 diag=0 level=false shimmer=true released=0 sec=36 toast=false -> repaint=true
[  6.002] draw dirty=270.0x437.0@0.0,-32.0 bounds=270.0x405.0@0.0,0.0 grid=31x29 scale=2.0 screen=Built-in Retina Display
[  6.100] step moves=0 diag=0 level=false shimmer=false released=0 sec=36 toast=false -> repaint=false
[  6.201] step moves=0 diag=0 level=false shimmer=false released=0 sec=36 toast=false -> repaint=false
[  6.301] step moves=0 diag=0 level=false shimmer=false released=0 sec=36 toast=false -> repaint=false
[  6.401] step moves=0 diag=0 level=false shimmer=false released=0 sec=36 toast=false -> repaint=false
[  6.501] step moves=0 diag=0 level=false shimmer=false released=0 sec=36 toast=false -> repaint=false
[  6.600] step moves=0 diag=0 level=false shimmer=false released=0 sec=36 toast=false -> repaint=false
[  6.700] step moves=0 diag=0 level=false shimmer=false released=0 sec=36 toast=false -> repaint=false
[  6.801] step moves=0 diag=0 level=false shimmer=false released=0 sec=36 toast=false -> repaint=false
[  6.901] step moves=0 diag=0 level=false shimmer=false released=0 sec=35 toast=false -> repaint=true
[  6.901] draw dirty=270.0x437.0@0.0,-32.0 bounds=270.0x405.0@0.0,0.0 grid=31x29 scale=2.0 screen=Built-in Retina Display
[  7.000] step moves=0 diag=0 level=false shimmer=true released=0 sec=35 toast=false -> repaint=true
[  7.001] draw dirty=270.0x437.0@0.0,-32.0 bounds=270.0x405.0@0.0,0.0 grid=31x29 scale=2.0 screen=Built-in Retina Display
[  7.103] step moves=0 diag=0 level=false shimmer=false released=0 sec=35 toast=false -> repaint=false
[  7.200] step moves=0 diag=0 level=false shimmer=false released=0 sec=35 toast=false -> repaint=false
[  7.301] step moves=0 diag=0 level=false shimmer=false released=0 sec=35 toast=false -> repaint=false
